epoch,train_loss,clip_loss,test_loss,bleu_score
0,"[0.15500852465629578, 0.17755451798439026, 0.2567582428455353, 0.19550852477550507, 0.22757308185100555, 0.2362830638885498, 0.2148701250553131, 0.30253106355667114, 0.22309526801109314, 0.17890778183937073, 0.2610560953617096, 0.2934499680995941, 0.31370899081230164, 0.18403539061546326, 0.19367623329162598, 0.24821706116199493, 0.211024209856987, 0.1726890653371811, 0.15775728225708008, 0.23139308393001556, 0.15833720564842224, 0.23933477699756622, 0.25323686003685, 0.1671004295349121, 0.15871098637580872, 0.1493048518896103, 0.15421386063098907, 0.18717731535434723, 0.2642134428024292, 0.1641143262386322, 0.19858483970165253, 0.23514124751091003, 0.16776898503303528, 0.21035955846309662, 0.18845778703689575, 0.28654763102531433, 0.2720393240451813, 0.2081429362297058, 0.207760751247406, 0.19841770827770233]","[0.26025390625, 0.265625, 0.296630859375, 0.27099609375, 0.30029296875, 0.27197265625, 0.2880859375, 0.285400390625, 0.293212890625, 0.263671875, 0.276611328125, 0.274169921875, 0.310791015625, 0.27490234375, 0.277099609375, 0.29931640625, 0.28955078125, 0.25390625, 0.278076171875, 0.30078125, 0.25, 0.28857421875, 0.28369140625, 0.260986328125, 0.26708984375, 0.2578125, 0.2626953125, 0.26953125, 0.282470703125, 0.2568359375, 0.288818359375, 0.2626953125, 0.25537109375, 0.265869140625, 0.269287109375, 0.28466796875, 0.288818359375, 0.283935546875, 0.28662109375, 0.26513671875]",0.21260156,0.218008178
1,"[0.11675084382295609, 0.16710922122001648, 0.1819160133600235, 0.1434062123298645, 0.20383170247077942, 0.15314307808876038, 0.20459161698818207, 0.10715615749359131, 0.32841140031814575, 0.12806963920593262, 0.1783541887998581, 0.14683735370635986, 0.13541877269744873, 0.21396897733211517, 0.17773345112800598, 0.18457572162151337, 0.12967948615550995, 0.1701153665781021, 0.21791806817054749, 0.16653820872306824, 0.18286336958408356, 0.21660606563091278, 0.11264942586421967, 0.15885603427886963, 0.14792299270629883, 0.13358843326568604, 0.13292287290096283, 0.14867915213108063, 0.16237588226795197, 0.14736084640026093, 0.1807945966720581, 0.19945161044597626, 0.11444497853517532, 0.1777244210243225, 0.1410052329301834, 0.17973414063453674, 0.19158515334129333, 0.1897231638431549, 0.14988483488559723, 0.23481009900569916]","[0.2308349609375, 0.23046875, 0.2578125, 0.218505859375, 0.2283935546875, 0.2283935546875, 0.23388671875, 0.220947265625, 0.240478515625, 0.2271728515625, 0.240478515625, 0.2171630859375, 0.212890625, 0.2491455078125, 0.2220458984375, 0.2322998046875, 0.2315673828125, 0.22998046875, 0.244140625, 0.22021484375, 0.2281494140625, 0.23681640625, 0.22607421875, 0.2388916015625, 0.2354736328125, 0.234130859375, 0.2259521484375, 0.25048828125, 0.2313232421875, 0.23095703125, 0.230712890625, 0.2403564453125, 0.210205078125, 0.23681640625, 0.234130859375, 0.23974609375, 0.230712890625, 0.2333984375, 0.2415771484375, 0.260986328125]",0.16896272,0.335073016
2,"[0.17382590472698212, 0.13171055912971497, 0.14276759326457977, 0.1037965789437294, 0.24858158826828003, 0.13178835809230804, 0.06643075495958328, 0.10705425590276718, 0.1655457466840744, 0.27508148550987244, 0.16493286192417145, 0.13129301369190216, 0.10665801167488098, 0.1456693410873413, 0.13256432116031647, 0.1664838194847107, 0.15822134912014008, 0.15985998511314392, 0.12866182625293732, 0.17014117538928986, 0.22603058815002441, 0.18053089082241058, 0.1646973043680191, 0.2471490353345871, 0.1094973012804985, 0.13574284315109253, 0.1655723750591278, 0.14258049428462982, 0.18876419961452484, 0.1641772836446762, 0.19318881630897522, 0.10493204742670059, 0.11418955028057098, 0.09626101702451706, 0.1583435982465744, 0.12773142755031586, 0.1869288682937622, 0.1677282154560089, 0.12388698011636734, 0.2406505048274994]","[0.203857421875, 0.188720703125, 0.2060546875, 0.183837890625, 0.2298583984375, 0.1973876953125, 0.158935546875, 0.2017822265625, 0.21630859375, 0.242919921875, 0.1929931640625, 0.202880859375, 0.188720703125, 0.2159423828125, 0.2105712890625, 0.214599609375, 0.202392578125, 0.1915283203125, 0.19873046875, 0.1929931640625, 0.2264404296875, 0.21142578125, 0.208740234375, 0.2236328125, 0.1781005859375, 0.181640625, 0.19091796875, 0.2041015625, 0.19287109375, 0.2257080078125, 0.2059326171875, 0.1861572265625, 0.1898193359375, 0.173828125, 0.211181640625, 0.192626953125, 0.209228515625, 0.210693359375, 0.1944580078125, 0.1910400390625]",0.156241297,0.372606588
3,"[0.11474892497062683, 0.10120342671871185, 0.14089834690093994, 0.09480812400579453, 0.10737892985343933, 0.1373382955789566, 0.04608311131596565, 0.18037521839141846, 0.08382610231637955, 0.17912569642066956, 0.26379984617233276, 0.19488053023815155, 0.0927967056632042, 0.15054135024547577, 0.15270273387432098, 0.1293954700231552, 0.2711450457572937, 0.1570330113172531, 0.22544445097446442, 0.14405272901058197, 0.13125938177108765, 0.15560834109783173, 0.10618951171636581, 0.1047118529677391, 0.16247697174549103, 0.12322714924812317, 0.14628149569034576, 0.13478636741638184, 0.1093098446726799, 0.16296891868114471, 0.1797788441181183, 0.18053928017616272, 0.1563117504119873, 0.18809933960437775, 0.18778789043426514, 0.16414450109004974, 0.13965652883052826, 0.1731618195772171, 0.08698046952486038, 0.12767060101032257]","[0.196044921875, 0.18115234375, 0.186767578125, 0.1824951171875, 0.165283203125, 0.1829833984375, 0.163330078125, 0.20068359375, 0.1624755859375, 0.216796875, 0.225341796875, 0.20263671875, 0.1690673828125, 0.197998046875, 0.183837890625, 0.2017822265625, 0.2218017578125, 0.1856689453125, 0.2158203125, 0.1990966796875, 0.19384765625, 0.1993408203125, 0.204833984375, 0.1771240234375, 0.201416015625, 0.1748046875, 0.1846923828125, 0.1990966796875, 0.1639404296875, 0.1839599609375, 0.205078125, 0.202880859375, 0.2003173828125, 0.191162109375, 0.2144775390625, 0.2041015625, 0.194091796875, 0.183349609375, 0.170166015625, 0.1812744140625]",0.147213223,0.390856029
4,"[0.2215144783258438, 0.17337021231651306, 0.1229533925652504, 0.16806381940841675, 0.12113075703382492, 0.13676556944847107, 0.13790327310562134, 0.11787812411785126, 0.11381831765174866, 0.18895497918128967, 0.1690056025981903, 0.09817711263895035, 0.1624370813369751, 0.1718694269657135, 0.0970248430967331, 0.15158577263355255, 0.177357017993927, 0.0849601998925209, 0.1619182676076889, 0.14598675072193146, 0.07652360200881958, 0.30145037174224854, 0.0932973101735115, 0.13963110744953156, 0.1255807727575302, 0.16873514652252197, 0.05805099755525589, 0.12773935496807098, 0.12159620970487595, 0.17462243139743805, 0.14189986884593964, 0.11246949434280396, 0.21269568800926208, 0.10378161817789078, 0.11602321267127991, 0.09648842364549637, 0.13834378123283386, 0.19683992862701416, 0.10516742616891861, 0.13418793678283691]","[0.201904296875, 0.21337890625, 0.1815185546875, 0.22314453125, 0.185546875, 0.180419921875, 0.1748046875, 0.19921875, 0.1839599609375, 0.19873046875, 0.18603515625, 0.1732177734375, 0.192138671875, 0.18359375, 0.154052734375, 0.183349609375, 0.216796875, 0.1810302734375, 0.1915283203125, 0.187744140625, 0.1629638671875, 0.2066650390625, 0.1702880859375, 0.20263671875, 0.16943359375, 0.1893310546875, 0.15185546875, 0.191650390625, 0.188720703125, 0.1904296875, 0.1763916015625, 0.174560546875, 0.230224609375, 0.1739501953125, 0.17578125, 0.158203125, 0.17333984375, 0.1875, 0.181884765625, 0.2020263671875]",0.141694992,0.413969936
5,"[0.12994496524333954, 0.16106285154819489, 0.15788902342319489, 0.17485223710536957, 0.1577298939228058, 0.10739487409591675, 0.13242550194263458, 0.15836885571479797, 0.12909644842147827, 0.16749219596385956, 0.12353656440973282, 0.10418011248111725, 0.25600600242614746, 0.14533202350139618, 0.12859660387039185, 0.10268586874008179, 0.17540960013866425, 0.0781027153134346, 0.09468095749616623, 0.18000929057598114, 0.11949065327644348, 0.08738044649362564, 0.15295229852199554, 0.17387346923351288, 0.12266461551189423, 0.13173680007457733, 0.14157867431640625, 0.11883227527141571, 0.12963928282260895, 0.13546746969223022, 0.09809164702892303, 0.11838533729314804, 0.09675194323062897, 0.10045889019966125, 0.19815213978290558, 0.11863581836223602, 0.14851953089237213, 0.09219247102737427, 0.1831660270690918, 0.14134496450424194]","[0.1937255859375, 0.1871337890625, 0.20751953125, 0.18701171875, 0.191650390625, 0.1671142578125, 0.19189453125, 0.194580078125, 0.1734619140625, 0.206298828125, 0.1937255859375, 0.179443359375, 0.2056884765625, 0.191162109375, 0.177978515625, 0.1822509765625, 0.2120361328125, 0.1624755859375, 0.175537109375, 0.2132568359375, 0.2027587890625, 0.175537109375, 0.1890869140625, 0.19677734375, 0.200927734375, 0.1865234375, 0.1925048828125, 0.199951171875, 0.163818359375, 0.179931640625, 0.1802978515625, 0.18603515625, 0.169189453125, 0.17529296875, 0.2235107421875, 0.191650390625, 0.1751708984375, 0.1749267578125, 0.22802734375, 0.1766357421875]",0.136852784,0.441945113
6,"[0.14751185476779938, 0.15875206887722015, 0.21091119945049286, 0.13527977466583252, 0.15703929960727692, 0.1257876455783844, 0.06597403436899185, 0.10593435168266296, 0.14974051713943481, 0.09581489861011505, 0.11640423536300659, 0.11815983057022095, 0.11989933252334595, 0.14149285852909088, 0.12309512495994568, 0.27538764476776123, 0.13418787717819214, 0.1479385942220688, 0.09861556440591812, 0.12987080216407776, 0.15087974071502686, 0.11414965987205505, 0.15773718059062958, 0.11812254041433334, 0.14788685739040375, 0.13842909038066864, 0.16691425442695618, 0.13794568181037903, 0.20456530153751373, 0.11373355239629745, 0.11901623010635376, 0.09769773483276367, 0.19660040736198425, 0.1539219617843628, 0.1200728490948677, 0.1812257170677185, 0.09710924327373505, 0.20937451720237732, 0.08707517385482788, 0.06200554966926575]","[0.177978515625, 0.220703125, 0.1783447265625, 0.208984375, 0.21826171875, 0.1719970703125, 0.174072265625, 0.170654296875, 0.2027587890625, 0.166748046875, 0.187744140625, 0.1820068359375, 0.2264404296875, 0.189697265625, 0.17333984375, 0.1944580078125, 0.2020263671875, 0.196044921875, 0.186279296875, 0.196044921875, 0.2200927734375, 0.181396484375, 0.198486328125, 0.1934814453125, 0.192138671875, 0.16064453125, 0.186767578125, 0.18896484375, 0.1875, 0.2060546875, 0.17529296875, 0.1912841796875, 0.20947265625, 0.204345703125, 0.1697998046875, 0.2022705078125, 0.19921875, 0.243896484375, 0.1832275390625, 0.16064453125]",0.138306519,0.449857344
7,"[0.08122850954532623, 0.12939399480819702, 0.14004944264888763, 0.08815155923366547, 0.15441840887069702, 0.136363223195076, 0.2487262785434723, 0.09686485677957535, 0.06538232415914536, 0.06380011141300201, 0.12874804437160492, 0.18145079910755157, 0.17123344540596008, 0.10130472481250763, 0.11509781330823898, 0.1407596617937088, 0.13315793871879578, 0.20334391295909882, 0.1701691746711731, 0.14321981370449066, 0.1536080688238144, 0.08664870262145996, 0.1398225873708725, 0.09536414593458176, 0.10283213108778, 0.13804301619529724, 0.15796275436878204, 0.1615101397037506, 0.21387985348701477, 0.11812926083803177, 0.08476392924785614, 0.15706609189510345, 0.27171698212623596, 0.12582528591156006, 0.143068328499794, 0.1640448272228241, 0.07825799286365509, 0.10880860686302185, 0.15025684237480164, 0.09616567194461823]","[0.1849365234375, 0.1778564453125, 0.172607421875, 0.1875, 0.191162109375, 0.16748046875, 0.1884765625, 0.1566162109375, 0.1497802734375, 0.14697265625, 0.1851806640625, 0.1806640625, 0.20556640625, 0.193115234375, 0.1529541015625, 0.1876220703125, 0.16796875, 0.2003173828125, 0.190673828125, 0.174560546875, 0.1949462890625, 0.1578369140625, 0.18603515625, 0.1588134765625, 0.1702880859375, 0.1900634765625, 0.1767578125, 0.180908203125, 0.2001953125, 0.177490234375, 0.163330078125, 0.189697265625, 0.2200927734375, 0.176513671875, 0.1785888671875, 0.20361328125, 0.16162109375, 0.1568603515625, 0.193603515625, 0.162109375]",0.136015981,0.451505606
8,"[0.11647592484951019, 0.13925376534461975, 0.07735169678926468, 0.10371579974889755, 0.18767982721328735, 0.08847717195749283, 0.11107885092496872, 0.12222602963447571, 0.1850891262292862, 0.1106894388794899, 0.1215830072760582, 0.09515982866287231, 0.14242787659168243, 0.19908040761947632, 0.0611172653734684, 0.10279396176338196, 0.14181719720363617, 0.1344461888074875, 0.10318318754434586, 0.09505113959312439, 0.2138151228427887, 0.20428895950317383, 0.1459222137928009, 0.1623678207397461, 0.12260422110557556, 0.26567342877388, 0.13391989469528198, 0.08644131571054459, 0.14013054966926575, 0.12330514192581177, 0.13405144214630127, 0.07588490843772888, 0.12295922636985779, 0.13311950862407684, 0.14939911663532257, 0.08157531917095184, 0.12168099731206894, 0.14104636013507843, 0.21432717144489288, 0.14090068638324738]","[0.164794921875, 0.185302734375, 0.148681640625, 0.161376953125, 0.2005615234375, 0.157958984375, 0.1644287109375, 0.1768798828125, 0.182373046875, 0.1824951171875, 0.1739501953125, 0.1729736328125, 0.1558837890625, 0.1580810546875, 0.149169921875, 0.1861572265625, 0.170166015625, 0.1712646484375, 0.1630859375, 0.1669921875, 0.207275390625, 0.1787109375, 0.1739501953125, 0.1824951171875, 0.1900634765625, 0.1923828125, 0.18505859375, 0.171142578125, 0.174072265625, 0.1458740234375, 0.1904296875, 0.1622314453125, 0.1741943359375, 0.160400390625, 0.18701171875, 0.172607421875, 0.183349609375, 0.161865234375, 0.198486328125, 0.167236328125]",0.133802777,0.469983738
9,"[0.2110898643732071, 0.06422505527734756, 0.10217410326004028, 0.11990787833929062, 0.15078529715538025, 0.1269349604845047, 0.10554027557373047, 0.15254080295562744, 0.14652475714683533, 0.11928633600473404, 0.14462590217590332, 0.11063475906848907, 0.10346800833940506, 0.12575770914554596, 0.17732879519462585, 0.16460087895393372, 0.1124996766448021, 0.13008348643779755, 0.1614694446325302, 0.07050668448209763, 0.09533653408288956, 0.1433078795671463, 0.09210503846406937, 0.09817510843276978, 0.14732493460178375, 0.10779885947704315, 0.18421553075313568, 0.14388756453990936, 0.1012682244181633, 0.09792494773864746, 0.09639197587966919, 0.11764166504144669, 0.13398689031600952, 0.12971699237823486, 0.14902189373970032, 0.18655671179294586, 0.14686942100524902, 0.1785239428281784, 0.278229683637619, 0.1577293425798416]","[0.2242431640625, 0.173095703125, 0.1685791015625, 0.18505859375, 0.19873046875, 0.161865234375, 0.2003173828125, 0.205078125, 0.157470703125, 0.1815185546875, 0.1900634765625, 0.183349609375, 0.1826171875, 0.150390625, 0.210693359375, 0.20947265625, 0.188232421875, 0.166748046875, 0.201171875, 0.1634521484375, 0.1531982421875, 0.191162109375, 0.17431640625, 0.19384765625, 0.2010498046875, 0.17333984375, 0.185302734375, 0.18359375, 0.1568603515625, 0.1788330078125, 0.1942138671875, 0.178955078125, 0.1807861328125, 0.165283203125, 0.193115234375, 0.1968994140625, 0.1939697265625, 0.226318359375, 0.186279296875, 0.173828125]",0.134649945,0.475051201
