epoch,train_loss,clip_loss,test_loss,bleu_score
0,"[0.2290511429309845, 0.20703153312206268, 0.21066167950630188, 0.219587042927742, 0.2927737236022949, 0.24313345551490784, 0.22914700210094452, 0.16141019761562347, 0.20912231504917145, 0.19590218365192413, 0.16517730057239532, 0.2071041613817215, 0.20153416693210602, 0.19313287734985352, 0.14186465740203857, 0.22068609297275543, 0.16750973463058472, 0.17808260023593903, 0.22041215002536774, 0.15409579873085022, 0.18615107238292694, 0.22445152699947357, 0.22142130136489868, 0.27557891607284546, 0.15557415783405304, 0.2349565327167511, 0.20130857825279236, 0.14424541592597961, 0.24063386023044586, 0.17345118522644043, 0.26397234201431274, 0.1576881855726242, 0.2344716489315033, 0.1586734503507614, 0.20986351370811462, 0.3517579436302185, 0.18300357460975647, 0.18734504282474518, 0.17243677377700806, 0.16972637176513672]","[0.229736328125, 0.214599609375, 0.2149658203125, 0.22216796875, 0.221923828125, 0.2034912109375, 0.2646484375, 0.198486328125, 0.2122802734375, 0.2177734375, 0.1885986328125, 0.2064208984375, 0.197509765625, 0.21142578125, 0.183837890625, 0.2081298828125, 0.2054443359375, 0.19189453125, 0.2103271484375, 0.21044921875, 0.21240234375, 0.2119140625, 0.22119140625, 0.2130126953125, 0.1890869140625, 0.217041015625, 0.21044921875, 0.197265625, 0.1915283203125, 0.2132568359375, 0.2144775390625, 0.185791015625, 0.224365234375, 0.197998046875, 0.2144775390625, 0.206787109375, 0.2032470703125, 0.192138671875, 0.1937255859375, 0.2119140625]",0.20485328026115895,0.19679664754585738
1,"[0.1200820580124855, 0.2250419408082962, 0.11312835663557053, 0.2154264748096466, 0.12469802051782608, 0.1078924909234047, 0.11365941166877747, 0.17555829882621765, 0.14723466336727142, 0.1899011880159378, 0.16056710481643677, 0.14612974226474762, 0.19616447389125824, 0.2069067507982254, 0.12487255781888962, 0.23531849682331085, 0.14259073138237, 0.25157347321510315, 0.11005249619483948, 0.19952218234539032, 0.1331476867198944, 0.185141921043396, 0.22398453950881958, 0.18077005445957184, 0.19507421553134918, 0.07697129994630814, 0.12420109659433365, 0.15694306790828705, 0.1476449817419052, 0.15778575837612152, 0.15895655751228333, 0.2190018594264984, 0.18225862085819244, 0.0760309174656868, 0.16684527695178986, 0.1438692957162857, 0.1461821347475052, 0.24381914734840393, 0.1497485637664795, 0.23605403304100037]","[0.1309814453125, 0.159912109375, 0.1392822265625, 0.1630859375, 0.1334228515625, 0.1123046875, 0.11248779296875, 0.148193359375, 0.14404296875, 0.130126953125, 0.1463623046875, 0.139892578125, 0.134521484375, 0.163330078125, 0.1448974609375, 0.153076171875, 0.1285400390625, 0.125244140625, 0.1285400390625, 0.1634521484375, 0.1143798828125, 0.1693115234375, 0.15283203125, 0.135009765625, 0.139404296875, 0.122802734375, 0.1534423828125, 0.134033203125, 0.153076171875, 0.12939453125, 0.133056640625, 0.14013671875, 0.1328125, 0.11767578125, 0.1497802734375, 0.1363525390625, 0.14599609375, 0.14453125, 0.119140625, 0.1654052734375]",0.16526879854500293,0.34297786552158616
2,"[0.1636248230934143, 0.12245986610651016, 0.19467361271381378, 0.0985184907913208, 0.16420510411262512, 0.1743418425321579, 0.15245087444782257, 0.13381358981132507, 0.12855620682239532, 0.11210315674543381, 0.1731707751750946, 0.18679878115653992, 0.11784853041172028, 0.1484929770231247, 0.18369756639003754, 0.09901607036590576, 0.1465681791305542, 0.10108450800180435, 0.1569165587425232, 0.16645286977291107, 0.17665833234786987, 0.13513422012329102, 0.08497536182403564, 0.14808493852615356, 0.16098831593990326, 0.14075398445129395, 0.1720503717660904, 0.13490693271160126, 0.10274729877710342, 0.17577104270458221, 0.18041975796222687, 0.14779271185398102, 0.10449095070362091, 0.15977436304092407, 0.2838204503059387, 0.13318219780921936, 0.1284106969833374, 0.19337230920791626, 0.21321074664592743, 0.15429630875587463]","[0.1741943359375, 0.1798095703125, 0.21533203125, 0.1953125, 0.1947021484375, 0.25146484375, 0.2083740234375, 0.176513671875, 0.1829833984375, 0.1756591796875, 0.20361328125, 0.2000732421875, 0.190673828125, 0.20556640625, 0.1982421875, 0.171142578125, 0.19482421875, 0.171630859375, 0.17919921875, 0.17919921875, 0.2071533203125, 0.19970703125, 0.19140625, 0.20654296875, 0.224609375, 0.177978515625, 0.21826171875, 0.1800537109375, 0.1982421875, 0.210693359375, 0.2110595703125, 0.1881103515625, 0.174560546875, 0.198974609375, 0.212646484375, 0.16796875, 0.178466796875, 0.2261962890625, 0.2080078125, 0.2052001953125]",0.15139089189469815,0.3760062128834273
3,"[0.11815088242292404, 0.1557714194059372, 0.23660583794116974, 0.14298999309539795, 0.07041510939598083, 0.11236824840307236, 0.16335271298885345, 0.09064019471406937, 0.1312919557094574, 0.11757346987724304, 0.17798079550266266, 0.08888375014066696, 0.09161896258592606, 0.10590604692697525, 0.21711987257003784, 0.1295536756515503, 0.14722749590873718, 0.16883310675621033, 0.13890643417835236, 0.09600691497325897, 0.15102438628673553, 0.14421242475509644, 0.1627069115638733, 0.13101734220981598, 0.2102440595626831, 0.14100342988967896, 0.187815323472023, 0.0651126578450203, 0.20072124898433685, 0.12144900858402252, 0.13278765976428986, 0.1354702264070511, 0.08164089173078537, 0.23113183677196503, 0.17915625870227814, 0.1896413117647171, 0.1631789654493332, 0.20054875314235687, 0.12953269481658936, 0.10496611893177032]","[0.136962890625, 0.1336669921875, 0.14453125, 0.1187744140625, 0.111328125, 0.138427734375, 0.135009765625, 0.1368408203125, 0.157470703125, 0.1358642578125, 0.1492919921875, 0.1318359375, 0.1463623046875, 0.12445068359375, 0.1348876953125, 0.130859375, 0.1337890625, 0.163330078125, 0.14892578125, 0.1260986328125, 0.151611328125, 0.1492919921875, 0.181884765625, 0.135498046875, 0.139404296875, 0.146728515625, 0.1663818359375, 0.11846923828125, 0.142578125, 0.1507568359375, 0.1533203125, 0.12384033203125, 0.12298583984375, 0.1812744140625, 0.141845703125, 0.141845703125, 0.1527099609375, 0.1278076171875, 0.125244140625, 0.11651611328125]",0.14411395974457264,0.4081045005197393
4,"[0.12332987040281296, 0.22488334774971008, 0.17452679574489594, 0.15057052671909332, 0.11251894384622574, 0.09153832495212555, 0.1633315235376358, 0.163688063621521, 0.128519669175148, 0.17043189704418182, 0.1351935714483261, 0.09908542037010193, 0.10583850741386414, 0.10948769748210907, 0.13946937024593353, 0.11742184311151505, 0.08612734824419022, 0.16263215243816376, 0.09481304883956909, 0.11937278509140015, 0.17037981748580933, 0.15297044813632965, 0.1934819519519806, 0.1169595718383789, 0.12810584902763367, 0.1105986088514328, 0.11255047470331192, 0.11132384836673737, 0.14715474843978882, 0.13830576837062836, 0.11083581298589706, 0.10281988978385925, 0.10796016454696655, 0.32299816608428955, 0.1838059276342392, 0.085858054459095, 0.13182464241981506, 0.1013026162981987, 0.21252530813217163, 0.16612659394741058]","[0.16357421875, 0.183837890625, 0.1920166015625, 0.1885986328125, 0.1844482421875, 0.1611328125, 0.191162109375, 0.1639404296875, 0.1778564453125, 0.1650390625, 0.1697998046875, 0.16259765625, 0.154296875, 0.175537109375, 0.1827392578125, 0.18017578125, 0.1531982421875, 0.18017578125, 0.1558837890625, 0.1982421875, 0.1748046875, 0.1866455078125, 0.185791015625, 0.167236328125, 0.162353515625, 0.17626953125, 0.18408203125, 0.170166015625, 0.172607421875, 0.171630859375, 0.197265625, 0.162841796875, 0.185791015625, 0.2032470703125, 0.174560546875, 0.1524658203125, 0.1512451171875, 0.1800537109375, 0.163330078125, 0.1712646484375]",0.13951672427356243,0.4250193472230267
5,"[0.07908564060926437, 0.14584378898143768, 0.14065870642662048, 0.1496647596359253, 0.08179013431072235, 0.1345731019973755, 0.13268615305423737, 0.15307681262493134, 0.12324213236570358, 0.10313436388969421, 0.0743802934885025, 0.12717442214488983, 0.1751314252614975, 0.11988669633865356, 0.08724384754896164, 0.12933780252933502, 0.1501350700855255, 0.18433915078639984, 0.1299932450056076, 0.14918699860572815, 0.13360266387462616, 0.1257995367050171, 0.1135811060667038, 0.1963050216436386, 0.14387589693069458, 0.13402549922466278, 0.11049620807170868, 0.08867774903774261, 0.12534211575984955, 0.18509407341480255, 0.27993902564048767, 0.11511563509702682, 0.10561404377222061, 0.0974823459982872, 0.2370985448360443, 0.1411900371313095, 0.1561518758535385, 0.18744124472141266, 0.10255167633295059, 0.13915349543094635]","[0.17333984375, 0.1812744140625, 0.1953125, 0.18310546875, 0.1905517578125, 0.219482421875, 0.170166015625, 0.183349609375, 0.2025146484375, 0.191162109375, 0.1705322265625, 0.1744384765625, 0.204833984375, 0.1595458984375, 0.1815185546875, 0.197998046875, 0.1968994140625, 0.213623046875, 0.203125, 0.1923828125, 0.1669921875, 0.193603515625, 0.169189453125, 0.2421875, 0.18017578125, 0.166259765625, 0.1678466796875, 0.1669921875, 0.189453125, 0.189453125, 0.199951171875, 0.192626953125, 0.1500244140625, 0.1832275390625, 0.193115234375, 0.1790771484375, 0.216552734375, 0.1990966796875, 0.1907958984375, 0.19091796875]",0.1372275585308671,0.44631790943287997
6,"[0.11835046857595444, 0.14902766048908234, 0.10081426799297333, 0.11246800422668457, 0.10533556342124939, 0.13360196352005005, 0.1364927738904953, 0.21408531069755554, 0.2738143801689148, 0.14411938190460205, 0.15288832783699036, 0.07823321223258972, 0.12377855181694031, 0.13089878857135773, 0.13481782376766205, 0.08624787628650665, 0.19668163359165192, 0.1400400698184967, 0.09657016396522522, 0.12745922803878784, 0.15513241291046143, 0.13830003142356873, 0.08599431812763214, 0.10494107007980347, 0.1171303316950798, 0.09215332567691803, 0.14052236080169678, 0.19852985441684723, 0.10452331602573395, 0.1317158043384552, 0.1503680795431137, 0.13494233787059784, 0.1333698183298111, 0.15076574683189392, 0.1545884758234024, 0.07508369535207748, 0.11442156881093979, 0.16279762983322144, 0.12062539160251617, 0.18265418708324432]","[0.1634521484375, 0.19384765625, 0.16748046875, 0.1690673828125, 0.1767578125, 0.1591796875, 0.17236328125, 0.1759033203125, 0.1844482421875, 0.161376953125, 0.1895751953125, 0.159912109375, 0.1705322265625, 0.1866455078125, 0.18603515625, 0.175048828125, 0.1868896484375, 0.1551513671875, 0.162353515625, 0.1907958984375, 0.188720703125, 0.17822265625, 0.1685791015625, 0.1737060546875, 0.1708984375, 0.1641845703125, 0.18505859375, 0.158935546875, 0.1629638671875, 0.142333984375, 0.1435546875, 0.17041015625, 0.1671142578125, 0.1630859375, 0.180419921875, 0.1640625, 0.139892578125, 0.1983642578125, 0.14453125, 0.1707763671875]",0.13510713018476964,0.4611124873101554
7,"[0.23695403337478638, 0.06826955080032349, 0.11522534489631653, 0.139184832572937, 0.10509132593870163, 0.13095064461231232, 0.1607709378004074, 0.12832583487033844, 0.09185737371444702, 0.12798473238945007, 0.1172119677066803, 0.12597514688968658, 0.1490163803100586, 0.11032403260469437, 0.2056029736995697, 0.1100742518901825, 0.15264064073562622, 0.07890353351831436, 0.1434278041124344, 0.20717571675777435, 0.1093490719795227, 0.08402131497859955, 0.11419209092855453, 0.07182294875383377, 0.12809959053993225, 0.18999890983104706, 0.11004742234945297, 0.1113991066813469, 0.17125269770622253, 0.1639389842748642, 0.18937408924102783, 0.13157202303409576, 0.1245758906006813, 0.10050229728221893, 0.10007967054843903, 0.09417390078306198, 0.11077918857336044, 0.18078091740608215, 0.21556398272514343, 0.15982434153556824]","[0.2076416015625, 0.12353515625, 0.151123046875, 0.175048828125, 0.1650390625, 0.1590576171875, 0.1806640625, 0.177490234375, 0.147216796875, 0.17724609375, 0.173828125, 0.1524658203125, 0.171875, 0.158935546875, 0.17626953125, 0.164794921875, 0.176025390625, 0.149658203125, 0.1868896484375, 0.116943359375, 0.1787109375, 0.149658203125, 0.1590576171875, 0.1239013671875, 0.1458740234375, 0.19482421875, 0.1536865234375, 0.1534423828125, 0.1802978515625, 0.155517578125, 0.171142578125, 0.176025390625, 0.1904296875, 0.15185546875, 0.1435546875, 0.165771484375, 0.154296875, 0.189453125, 0.17138671875, 0.164794921875]",0.13415788747370244,0.470039000180199
8,"[0.11493422836065292, 0.11443336308002472, 0.14281156659126282, 0.07110190391540527, 0.12960782647132874, 0.11319426447153091, 0.11553952097892761, 0.06319967657327652, 0.16649742424488068, 0.1584898829460144, 0.08748235553503036, 0.13917706906795502, 0.1292881816625595, 0.12430927902460098, 0.13376010954380035, 0.1347873955965042, 0.19101747870445251, 0.1321973353624344, 0.13434694707393646, 0.12041094899177551, 0.11113756895065308, 0.14144203066825867, 0.10086973756551743, 0.07575363665819168, 0.12807725369930267, 0.16050493717193604, 0.13175015151500702, 0.20461274683475494, 0.0930786207318306, 0.16395409405231476, 0.12553533911705017, 0.08353867381811142, 0.18165308237075806, 0.2136041522026062, 0.09579772502183914, 0.1714087575674057, 0.10002395510673523, 0.299589604139328, 0.10424569249153137, 0.20501506328582764]","[0.14697265625, 0.2001953125, 0.17919921875, 0.135009765625, 0.18896484375, 0.14501953125, 0.1727294921875, 0.1314697265625, 0.1944580078125, 0.187744140625, 0.1822509765625, 0.169189453125, 0.1435546875, 0.14453125, 0.1693115234375, 0.1680908203125, 0.1912841796875, 0.1776123046875, 0.1971435546875, 0.172119140625, 0.1630859375, 0.1627197265625, 0.1990966796875, 0.1588134765625, 0.156982421875, 0.15869140625, 0.1513671875, 0.190673828125, 0.1436767578125, 0.187744140625, 0.171875, 0.154052734375, 0.1885986328125, 0.2034912109375, 0.16357421875, 0.1829833984375, 0.1826171875, 0.19873046875, 0.168701171875, 0.203125]",0.13520448952913283,0.4767771919676664
9,"[0.10447999089956284, 0.10278404504060745, 0.08480324596166611, 0.1160280704498291, 0.12149710953235626, 0.09915592521429062, 0.1608375459909439, 0.12742958962917328, 0.10897905379533768, 0.1284196972846985, 0.10764655470848083, 0.1675674319267273, 0.17775073647499084, 0.12047344446182251, 0.13911055028438568, 0.16333983838558197, 0.09927494823932648, 0.16313835978507996, 0.12122775614261627, 0.16239523887634277, 0.09382238984107971, 0.13190661370754242, 0.06645423918962479, 0.27692583203315735, 0.1763332635164261, 0.15195098519325256, 0.09052742272615433, 0.09100747853517532, 0.10855039954185486, 0.16330741345882416, 0.13178159296512604, 0.14494752883911133, 0.208364337682724, 0.11009461432695389, 0.18829043209552765, 0.16728881001472473, 0.13472385704517365, 0.16264063119888306, 0.12791815400123596, 0.08918072283267975]","[0.13671875, 0.13671875, 0.135009765625, 0.1324462890625, 0.164306640625, 0.1624755859375, 0.1583251953125, 0.146728515625, 0.152587890625, 0.1568603515625, 0.130126953125, 0.1964111328125, 0.1790771484375, 0.156982421875, 0.14111328125, 0.165771484375, 0.1627197265625, 0.161376953125, 0.1737060546875, 0.17626953125, 0.171142578125, 0.15869140625, 0.12451171875, 0.156494140625, 0.1634521484375, 0.1756591796875, 0.1422119140625, 0.1446533203125, 0.155517578125, 0.185791015625, 0.1651611328125, 0.1964111328125, 0.17333984375, 0.1431884765625, 0.15185546875, 0.17919921875, 0.140625, 0.16845703125, 0.1636962890625, 0.1568603515625]",0.1348088962957263,0.48276992783831324
